HRR,HRR Name,Provider ID,Hospital Name,City,State,System,Number of deaths among chronically ill patients assigned to hospital,Percent of enrollees medical inpatient days at hospital to which they were assigned,Hospital Care Intensity Index during the Last Two Years of Life,Total Medicare Reimbursements per Decedent during the Last Two Years of Life,Inpatient Sector Reimbursements per Decedent during the Last Two Years of Life,Outpatient Sector Reimbursements per Decedent during the Last Two Years of Life,SNF/Long-Term Care Sector Reimbursements per Decedent during the Last Two Years of Life,Home Health Sector Reimbursements per Decedent during the Last Two Years of Life,Hospice Sector Reimbursements per Decedent during the Last Two Years of Life,Ambulance spending per Decedent during the last two years of life,Reimbursements for Durable Medical Equipment per Decedent during the Last Two Years of Life,Other spending per Decedent during the last two years of life,Part B Spending per Decedent during the Last Two Years of Life,Part B Spending for Evaluation & Management per Decedent during the Last Two Years of Life,Part B Spending for Procedures per Decedent during the Last Two Years of Life,Part B Spending for Imaging per Decedent during the Last Two Years of Life,Part B Spending for Tests per Decedent during the Last Two Years of Life,Other Part B spending per Decedent during the last two years of life,Hospital reimbursements per Decedent during the last two years of life,Inpatient Days per Decedent during the Last Two Years of Life,Reimbursements per patient day (calculated),Hospital Reimbursements: Ratio to US Average (calculated),Hospital Days: Ratio to US Average (calculated),Reimbursements per Day: Ratio to US Average (calculated),Payments for physician visits per Decedent during the last two years of life,Physician Visits per Decedent during the Last Two Years of Life,Payments per physician visit (calculated),Physician visit payments: Ratio to US Average (calculated),Physician visits: Ratio to US Average (calculated),Payments per visit: Ratio to US Average (calculated),"Hospital Bed Inputs per 1,000 Decedents during the Last Two Years of Life","Total ICU Bed Inputs per 1,000 Decedents during the Last Two Years of Life","High-Intensity ICU Bed Inputs per 1,000 Decedents during the Last Two Years of Life","Intermediate-Intensity ICU Bed Inputs per 1,000 Decedents during the Last Two Years of Life","Medical & Surgical Unit Bed Inputs per 1,000 Decedents during the Last Two Years of Life","SNF Bed Inputs per 1,000 Dededents during the Last Two Years of Life","FTE Physician Labor Inputs per 1,000 Decedents during the Last Two Years of Life","FTE Medical Specialist Labor Inputs per 1,000 Decedents during the Last Two Years of Life","FTE Primary Care Physician Labor Inputs per 1,000 Decedents during the Last Two Years of Life",Standardized FTE physician labor: Ratio MS/PC (calculated),"RNs Required Under Proposed Federal Standards per 1,000 Decedents during the Last Two Years of Life",Inpatient Days per Decedent during the Last Six Months of Life,Total ICU Days per Decedent during the Last Six Months of Life,High-Intensity ICU Days per Decedent during the Last Six Months of Life,Intermediate-Intensity ICU Days per Decedent during the Last Six Months of Life,Medical & Surgical Unit Days per Decedent during the Last Six Months of Life,SNF Days per Decedent during the Last Six Months of Life,Physician Visits per Decedent during the Last Six Months of Life,Medical Specialist Visits per Decedent during the Last Six Months of Life,Primary Care Visits per Decedent during the Last Six Months of Life,Physician visits per decedent last 6 months: Ratio MS/PC (calculated),Home Health Agency Visits per Decedent during the Last Six Months of Life,Percent of Deaths Occurring In Hospital,Percent of Deaths Associated With ICU Admission,Percent of Decedents Enrolled In Hospice during the Last Six Months of Life,Hospice Days per Decedent during the Last Six Months of Life,Percent of Decedents Seeing 10 or More Different Physicians during the Last Six Months of Life,Number of Different Physicians Seen per Decedent during the Last Six Months of Life,Average Co-Payments per Decedent during the Last Two Years of Life,Average Co-Payments for Physician Services per Decedent during the Last Two Years of Life,Average Co-Payments for Durable Medical Equipment per Decedent during the Last Two Years of Life
1,AL- BIRMINGHAM,10033,University Of Alabama Hospital,Birmingham,AL,UAB Health System,531,83.1,0.9,"85,300","43,118","19,216","7,814","4,703","6,379","1,718","1,788",563,"13,954","4,609","2,815","1,289","1,035","4,206","39,369",18.0,"2,189",1.0,1.0,1.1,"4,648",54.3,86,0.7,0.8,0.8,49.3,16.6,13.5,3.1,32.7,38.5,27.5,12.1,8.4,1.4,47.9,11.5,4.4,3.6,0.8,7.1,6.0,26.0,11.9,7.6,1.6,12.7,29.6,21.5,62.8,33.2,65.4,14.3,"5,221","4,688",533
1,AL- BIRMINGHAM,10035,Cullman Regional Medical Center,Cullman,AL,,330,92.9,0.7,"71,291","29,720","13,726","10,847","5,710","7,989","1,613","1,022",664,"14,273","4,522","2,086","1,268",928,"5,469","26,786",14.8,"1,816",0.7,0.8,0.9,"4,724",45.8,103,0.7,0.7,1.0,40.4,7.4,5.3,2.1,33.0,61.9,21.7,7.1,9.2,0.8,34.8,9.0,1.9,1.4,0.5,7.1,10.9,22.3,7.5,9.8,0.8,12.5,29.5,14.8,58.3,33.7,48.4,10.5,"4,260","3,929",330
134,FL- PENSACOLA,10036,Andalusia Health,Andalusia,AL,LifePoint Health,122,82.4,0.8,"63,655","27,414","12,509","8,354","5,611","5,494","2,801",868,603,"12,585","4,915","2,547","1,006",967,"3,150","24,128",15.9,"1,518",0.6,0.9,0.7,"5,130",52.6,98,0.7,0.8,0.9,43.6,12.9,11.9,1.0,30.7,56.5,25.0,8.3,11.8,0.7,41.8,9.2,3.2,3.0,0.2,6.0,9.3,23.2,7.8,12.2,0.6,14.0,22.9,19.3,57.4,29.6,47.8,10.5,"4,067","3,772",295
5,AL- HUNTSVILLE,10039,Huntsville Hospital,Huntsville,AL,Huntsville Hospital Health System,"1,199",91.9,1.1,"76,849","30,772","20,344","10,395","4,850","7,030","1,546","1,330",583,"20,315","6,114","3,000","1,462","1,004","8,734","26,349",18.9,"1,396",0.7,1.0,0.7,"6,196",70.1,88,0.9,1.1,0.8,51.7,32.3,8.0,24.4,19.4,47.9,32.0,15.2,11.2,1.4,50.8,11.5,7.8,2.2,5.6,3.7,8.5,35.3,18.6,13.2,1.4,11.2,25.1,22.5,60.3,29.0,64.9,13.9,"6,253","5,847",406
1,AL- BIRMINGHAM,10040,Gadsden Regional Medical Center,Gadsden,AL,"Community Health Systems, Inc.",294,88.0,1.2,"84,300","34,125","13,297","16,694","7,105","8,464","2,622","1,349",642,"17,457","6,523","2,311","1,097",869,"6,657","28,762",19.1,"1,510",0.8,1.1,0.7,"6,549",79.8,82,0.9,1.2,0.8,52.2,41.2,14.9,26.3,11.0,53.5,34.4,14.1,14.2,1.0,56.9,10.9,9.0,3.8,5.2,1.9,8.5,40.0,18.6,16.9,1.1,18.2,16.1,13.9,69.6,36.2,60.9,12.6,"5,573","5,153",419
1,AL- BIRMINGHAM,10046,Riverview Regional Med Ctr,Gadsden,AL,Prime Healthcare Services,158,89.2,1.2,"82,316","36,859","12,706","12,691","5,612","8,795","3,781","1,130",741,"17,546","6,731","2,609","1,150",935,"6,121","31,571",19.6,"1,612",0.8,1.1,0.8,"6,772",79.0,86,0.9,1.2,0.8,53.6,32.1,11.7,20.5,21.5,44.2,34.5,15.4,13.7,1.1,54.1,11.6,8.7,3.3,5.4,2.9,6.1,40.1,20.2,16.0,1.3,13.5,19.8,18.5,67.3,38.4,53.2,10.9,"5,389","5,027",362
2,AL- DOTHAN,10049,Medical Center Enterprise,Enterprise,AL,"Community Health Systems, Inc.",122,82.1,0.6,"70,849","24,057","11,044","11,820","8,294","8,977","1,794","4,298",566,"11,968","4,542","2,558",968,934,"2,966","21,618",11.4,"1,902",0.6,0.6,0.9,"4,545",44.3,103,0.6,0.7,1.0,31.1,9.6,5.2,4.4,21.5,44.5,22.1,5.1,11.9,0.4,28.4,7.8,2.7,1.4,1.3,5.1,11.4,21.7,5.2,13.6,0.4,18.6,21.2,11.1,68.6,33.8,49.8,11.0,"4,495","3,232","1,263"
2,AL- DOTHAN,10055,Flowers Hospital,Dothan,AL,"Community Health Systems, Inc.",387,88.2,0.8,"70,367","26,436","20,339","10,034","4,723","5,671","1,777",921,466,"19,254","5,167","3,632",933,875,"8,647","22,778",14.6,"1,565",0.6,0.8,0.8,"5,246",54.2,97,0.7,0.8,0.9,39.9,23.3,8.5,14.8,16.5,36.8,27.3,8.8,12.7,0.7,40.0,8.8,5.5,2.4,3.1,3.3,5.7,25.8,8.8,13.5,0.7,12.3,25.2,23.3,56.6,28.9,63.0,13.1,"5,995","5,695",300
1,AL- BIRMINGHAM,10056,St. Vincent's Birmingham,Birmingham,AL,Ascension Healthcare,365,89.5,0.9,"72,436","28,676","17,012","11,575","4,873","7,357","1,472",760,712,"18,540","5,749","2,333","1,357","1,184","7,916","24,778",16.2,"1,534",0.7,0.9,0.7,"5,762",63.1,91,0.8,1.0,0.8,44.3,20.6,10.1,10.5,23.7,41.9,29.1,11.5,12.8,0.9,43.4,10.1,5.5,2.6,2.9,4.6,6.6,32.6,13.7,14.6,0.9,10.4,23.9,19.4,64.5,30.5,63.0,13.8,"5,273","5,036",237
1,AL- BIRMINGHAM,10065,Russell Medical Center,Alexander City,AL,,103,82.7,0.6,"74,639","29,576","20,798","10,566","4,707","5,440","2,143",956,454,"12,731","5,137","2,648","1,289",885,"2,773","26,356",12.1,"2,183",0.7,0.7,1.0,"5,159",47.9,108,0.7,0.7,1.0,33.1,11.0,8.4,2.6,22.1,54.1,27.0,9.0,12.3,0.7,31.8,7.3,2.9,2.2,0.7,4.4,9.4,21.6,11.7,6.9,1.7,9.5,12.1,-99999.0,59.0,24.3,43.7,10.0,"3,826","3,528",298
1,AL- BIRMINGHAM,10078,Northeast Alabama Reg Med Ctr,Anniston,AL,Regional Medical Center,329,91.2,1.0,"72,922","26,993","14,835","12,008","4,939","9,070","3,396",915,766,"19,067","5,292","2,906",922,"1,124","8,823","22,967",17.8,"1,287",0.6,1.0,0.6,"5,338",66.9,80,0.7,1.0,0.7,48.9,17.2,16.0,1.2,31.7,60.0,30.1,13.1,12.1,1.1,49.0,11.0,4.5,4.2,0.3,6.5,10.6,35.2,17.3,15.9,1.1,12.8,29.3,20.4,56.2,39.2,56.1,11.1,"5,808","5,516",292
5,AL- HUNTSVILLE,10079,Athens-Limestone Hospital,Athens,AL,Huntsville Hospital Health System,121,85.2,0.8,"77,907","29,723","15,201","13,916","6,065","9,773","1,769","1,132",326,"15,425","5,441","2,318","1,075",615,"5,975","25,929",15.4,"1,687",0.7,0.9,0.8,"5,453",53.1,103,0.8,0.8,1.0,42.1,13.9,8.3,5.6,28.2,66.9,26.7,7.9,12.9,0.6,39.2,9.7,4.2,2.6,1.6,5.5,14.1,27.0,11.2,13.3,0.8,13.0,23.0,13.1,55.1,37.8,50.5,10.8,"4,579","4,226",352
6,AL- MOBILE,10083,South Baldwin Regional Med Ctr,Foley,AL,"Community Health Systems, Inc.",210,89.1,1.0,"72,161","32,611","12,536","9,890","6,167","7,220","1,550","1,693",493,"14,758","6,373","2,701","1,012",769,"3,903","27,897",16.7,"1,670",0.7,0.9,0.8,"6,373",65.2,98,0.9,1.0,0.9,45.8,31.6,10.5,21.1,14.2,44.9,28.5,12.7,10.4,1.2,47.5,9.5,7.1,2.6,4.6,2.4,7.6,30.9,15.4,11.0,1.4,13.5,15.5,14.5,72.2,35.7,63.4,14.0,"4,740","4,215",526
5,AL- HUNTSVILLE,10085,Decatur Morgan Hospital,Decatur,AL,Huntsville Hospital Health System,356,93.0,1.0,"73,523","27,109","20,861","9,647","5,596","6,621","2,105",982,604,"21,719","5,520","3,177","1,508",979,"10,534","23,314",18.1,"1,289",0.6,1.0,0.6,"5,548",60.5,92,0.8,0.9,0.9,49.6,17.9,15.0,3.0,31.6,58.6,29.9,13.4,11.6,1.2,49.1,10.6,4.4,3.7,0.6,6.2,8.8,29.2,14.0,12.8,1.1,13.1,28.7,17.7,50.2,27.8,48.8,10.8,"6,265","5,968",297
6,AL- MOBILE,10087,Univ Of South Alabama Med Ctr,Mobile,AL,USA Health,93,80.5,0.8,"78,862","44,292","12,604","6,463","5,118","6,718","1,458","1,632",577,"10,903","4,194","2,867","1,076",768,"1,997","40,581",15.9,"2,558",1.1,0.9,1.2,"4,332",55.4,78,0.6,0.8,0.7,43.5,20.1,10.6,9.5,23.4,25.9,27.4,12.7,7.7,1.6,43.0,8.4,4.4,2.5,1.9,4.0,3.1,25.2,12.7,8.2,1.5,16.1,23.4,21.0,63.1,32.8,49.8,12.1,"4,180","3,679",501
1,AL- BIRMINGHAM,10089,Walker Baptist Medical Center,Jasper,AL,TENET Healthcare Corporation,148,89.3,0.9,"73,708","31,611","13,896","9,519","5,515","9,677","2,103",788,597,"15,641","5,282","2,215","1,045","1,024","6,075","27,511",16.6,"1,658",0.7,0.9,0.8,"5,416",57.9,94,0.8,0.9,0.9,45.5,31.9,10.5,21.4,13.6,51.3,28.4,9.4,13.3,0.7,47.3,11.0,8.2,3.1,5.1,2.8,7.2,30.5,10.5,15.7,0.7,14.5,15.7,13.7,71.8,36.9,57.2,12.0,"4,471","4,210",261
6,AL- MOBILE,10090,Providence Hospital,Mobile,AL,Ascension Healthcare,327,91.0,1.0,"67,037","27,626","16,672","6,428","5,107","7,816","1,415","1,364",609,"16,972","6,553","2,373","1,295","1,031","5,720","22,682",18.2,"1,245",0.6,1.0,0.6,"6,680",70.0,95,0.9,1.1,0.9,49.9,21.1,8.6,12.5,28.8,39.9,29.9,15.1,9.6,1.6,47.0,11.9,5.0,2.3,2.7,6.9,7.4,36.2,18.8,13.4,1.4,11.7,16.9,13.5,71.9,33.6,69.1,16.0,"5,012","4,589",423
9,AL- TUSCALOOSA,10092,Dch Regional Medical Center,Tuscaloosa,AL,DCH Health System,650,93.6,1.2,"74,149","34,214","14,170","12,392","5,240","4,915","2,073",720,426,"13,559","6,623","2,275","1,048",769,"2,844","28,589",19.3,"1,484",0.8,1.1,0.7,"6,721",80.6,83,0.9,1.2,0.8,52.8,12.8,12.2,0.6,39.9,48.2,35.7,15.1,14.5,1.0,48.9,12.2,3.5,3.4,0.1,8.7,8.3,43.1,18.8,19.2,1.0,14.2,26.2,21.2,56.5,23.0,63.6,13.7,"4,392","4,153",239
6,AL- MOBILE,10100,Thomas Hospital,Fairhope,AL,Infirmary Health System,275,92.2,0.8,"72,513","26,211","15,645","8,832","7,472","10,242","1,728","1,685",697,"15,464","5,590","2,906","1,310",903,"4,755","22,718",14.7,"1,550",0.6,0.8,0.7,"5,608",57.2,98,0.8,0.9,0.9,40.2,6.9,5.0,1.9,33.3,46.0,24.4,10.1,8.7,1.2,34.3,8.2,1.7,1.2,0.5,6.6,8.1,24.6,9.3,7.6,1.2,13.5,19.6,11.9,74.9,37.7,59.6,12.3,"4,539","4,068",471
1,AL- BIRMINGHAM,10103,Princeton Baptist Medical Center,Birmingham,AL,TENET Healthcare Corporation,235,86.9,1.1,"82,599","35,535","18,525","12,917","4,418","7,200","2,497","1,081",426,"20,877","6,423","2,741",981,851,"9,881","30,478",18.0,"1,689",0.8,1.0,0.8,"6,474",68.7,94,0.9,1.0,0.9,49.4,15.2,13.5,1.7,34.2,48.3,33.3,12.0,15.2,0.8,47.6,11.5,4.3,3.9,0.4,7.2,8.0,35.8,13.4,18.1,0.7,13.0,13.5,9.3,76.7,35.4,65.6,14.3,"6,659","6,308",351
1,AL- BIRMINGHAM,10104,Grandview Medical Center,Birmingham,AL,"Community Health Systems, Inc.",375,86.6,1.2,"85,938","37,467","19,807","13,290","5,408","6,220","2,048",905,792,"22,685","7,004","2,951","1,226","1,191","10,313","32,043",20.2,"1,589",0.9,1.1,0.8,"7,029",79.3,89,1.0,1.2,0.8,55.2,31.6,18.3,13.3,23.7,42.1,37.1,15.0,15.6,1.0,58.5,12.5,7.6,5.0,2.7,4.9,6.8,41.2,19.9,16.7,1.2,11.6,25.7,24.0,59.6,28.1,71.8,16.8,"6,709","6,438",271
7,AL- MONTGOMERY,10108,Prattville Baptist Hospital,Prattville,AL,Baptist Health,87,83.9,1.0,"78,828","32,935","16,944","11,866","6,593","7,601","1,468",838,583,"11,221","5,789","1,759",842,969,"1,862","29,046",21.8,"1,334",0.8,1.2,0.6,"5,799",60.3,96,0.8,0.9,0.9,59.6,9.0,7.7,1.3,50.6,63.2,29.6,9.1,16.3,0.6,50.9,10.5,2.2,1.9,0.3,8.4,11.5,24.3,7.9,14.5,0.5,16.0,18.8,12.1,60.1,32.9,59.0,12.1,"3,867","3,589",277
6,AL- MOBILE,10113,Mobile Infirmary Medical Center,Mobile,AL,Infirmary Health System,457,89.1,1.2,"74,414","33,665","16,090","9,479","4,631","7,436","1,648","1,037",427,"16,742","6,670","2,607","1,055",842,"5,567","28,351",20.6,"1,375",0.8,1.1,0.7,"6,770",74.5,91,0.9,1.1,0.8,56.5,14.7,11.5,3.3,41.7,46.3,32.8,14.8,11.9,1.3,51.8,12.1,3.9,3.1,0.8,8.2,6.0,37.7,18.4,14.9,1.2,12.4,27.3,21.6,63.3,32.4,70.7,15.7,"5,159","4,817",343
1,AL- BIRMINGHAM,10114,Medical West,Bessemer,AL,UAB Health System,139,88.5,1.2,"72,543","33,055","12,345","13,109","5,454","5,542","1,629",803,606,"14,787","6,173","2,178",797,906,"4,733","28,361",21.1,"1,347",0.8,1.2,0.6,"6,195",66.8,93,0.9,1.0,0.9,57.7,26.0,12.6,13.4,31.7,52.4,33.0,10.1,16.4,0.6,56.1,10.5,5.1,3.1,2.0,5.4,7.4,30.3,9.8,16.1,0.6,10.7,25.1,22.6,64.0,29.3,53.8,11.3,"4,450","4,180",269
1,AL- BIRMINGHAM,10118,Vaughan Regional Medical Center,Selma,AL,LifePoint Health,113,84.8,0.8,"69,863","31,190","15,898","10,670","4,090","4,413","1,747","1,326",528,"10,464","4,589","2,385",724,752,"2,015","27,626",15.0,"1,848",0.7,0.8,0.9,"4,835",47.7,101,0.7,0.7,0.9,41.0,17.6,16.5,1.1,23.4,59.6,24.6,7.9,11.7,0.7,43.4,9.8,5.0,4.9,0.1,4.8,9.7,23.3,6.9,14.0,0.5,9.3,26.4,17.7,48.1,25.5,43.6,11.1,"3,423","2,963",460
5,AL- HUNTSVILLE,10131,Crestwood Medical Center,Huntsville,AL,"Community Health Systems, Inc.",273,89.6,0.9,"70,560","26,344","21,210","8,778","4,917","6,657","1,181",774,698,"20,726","5,231","3,231","1,505","1,111","9,648","22,980",16.6,"1,381",0.6,0.9,0.7,"5,284",60.7,87,0.7,0.9,0.8,45.6,17.7,6.6,11.1,27.9,45.8,29.6,11.7,12.8,0.9,41.9,9.7,4.0,1.7,2.3,5.6,8.4,27.6,12.4,13.1,1.0,9.4,29.0,20.8,55.5,27.9,49.6,11.0,"5,949","5,723",226
1,AL- BIRMINGHAM,10139,Brookwood Baptist Medical Ctr,Birmingham,AL,TENET Healthcare Corporation,239,88.8,1.2,"84,636","32,794","20,034","16,249","4,491","7,254","1,253","1,665",895,"22,443","6,688","3,501","1,166","1,306","9,782","27,778",18.2,"1,529",0.7,1.0,0.7,"6,720",80.3,84,0.9,1.2,0.8,49.8,14.5,12.3,2.2,35.2,42.2,36.7,16.4,14.9,1.1,47.1,11.4,3.9,3.4,0.4,7.6,8.3,41.0,19.1,18.8,1.0,11.0,28.1,24.1,56.1,28.9,67.8,14.9,"6,973","6,499",474
